Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,IEA-EV-dataEV_salesHistoricalCars.category,IEA-EV-dataEV_salesHistoricalCars.parameter,IEA-EV-dataEV_salesHistoricalCars.mode,IEA-EV-dataEV_salesHistoricalCars.powertrain,IEA-EV-dataEV_salesHistoricalCars.year,IEA-EV-dataEV_salesHistoricalCars.unit,IEA-EV-dataEV_salesHistoricalCars.value
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Sports Utility Vehicle,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Multi-purpose Vehicle,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Two-Wheelers,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Hatchback,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Sedan,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Sports Utility Vehicle,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Multi-purpose Vehicle,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Two-Wheelers,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Hatchback,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Sedan,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Sports Utility Vehicle,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Passenger Vehicles,Passenger Cars,Multi-purpose Vehicle,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,* All,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Two-Wheelers,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Pick-up Trucks,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Light Commercial Vehicles,Light Commercial Vans,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Medium-duty Commercial Trucks,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Trucks,Heavy-duty Commercial Trucks,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Commercial Vehicles,Medium and Heavy Duty Buses,Buses,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,BEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,FCEV,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,* All,* All,* All,Hybrid and Electric Vehicles,* All,Volume,Units,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,HEV,Volume,Units,Historical,EV sales,Cars,BEV,2021,Vehicles,12000
Asia-Pacific,India,Passenger Vehicles,* All,* All,Hybrid and Electric Vehicles,PHEV,Volume,Units,Historical,EV sales,Cars,BEV,2021,Vehicles,12000
